r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Argentina,PORT,rho,38,30.34736187559994,1.2521681507529319,0.21050859874380265
Argentina,PORT,nu,1.0782067234468737,0.17350694040410722,6.214199391307753,5.158698905300555e-10
Argentina,Newton,gamma,1.0936013905702724,9.345814703067145,0.1170150944905178,0.9068480919828794
Argentina,Newton,lambda,-3.868893928103555e-5,0.0042272432462565545,-0.00915228602359153,0.9926976342321743
Argentina,Newton,delta_1,0.417877847091386,0.23384668589080423,1.786973569882089,0.07394176044123965
Argentina,Newton,delta,0.412329263184274,0.6257438608104714,0.6589425626169466,0.5099326528289859
Argentina,Newton,rho_1,-0.25,0.5097513526574712,-0.49043518707048567,0.6238259825379224
Argentina,Newton,rho,16,31.281297096761218,0.51148774139729,0.6090095700383229
Argentina,Newton,nu,1.019702882272407,0.4710601452397582,2.1646978471367024,0.030410832066197775
Argentina,L-BFGS-B,gamma,0.9626667099547312,6.436710306013155,0.14955880631374865,0.8811127103467032
Argentina,L-BFGS-B,lambda,2.406718762465075e-5,0.0033076522315098568,0.0072762146501915365,0.994194471896872
Argentina,L-BFGS-B,delta_1,0.3575625991511531,0.18673739382254453,1.9147884193507745,0.05551949195224442
Argentina,L-BFGS-B,delta,0.4819780878037371,0.2688820440378756,1.7925261224801017,0.07304872858792216
Argentina,L-BFGS-B,rho_1,-0.5,0.589224219574401,-0.8485734010749796,0.39611871293794515
Argentina,L-BFGS-B,rho,3,10.405978788329648,0.28829580196382043,0.7731203203550217
Argentina,L-BFGS-B,nu,1.3029140432318442,0.36384512606426306,3.5809578029134324,3.4233694523247866e-4
Australia and New Zealand,LM,gamma,2.882824221208772e-18,1.6208813769373265e-17,0.17785534846824513,0.8588365784248997
Australia and New Zealand,LM,lambda,0.019970670776104264,0.0027801095354306644,7.183411488501162,6.799306089942034e-13
Australia and New Zealand,LM,delta_1,1.955739748905042e-6,1.2310992968141713e-4,0.015886125140076753,0.9873252391413874
Australia and New Zealand,LM,delta,0.38647057293651776,0.27877817243134073,1.3863014079113394,0.16565488713829415
Australia and New Zealand,LM,rho_1,90,442.6431495392228,0.2033240548141027,0.8388817551693276
Australia and New Zealand,LM,rho,-0.99,3.823436909543228,-0.25892934117180755,0.795689759006889
Australia and New Zealand,LM,nu,0.5192463694513695,0.18695221764257478,2.7774282434247044,0.005479093662550162
Australia and New Zealand,NM,gamma,0.03238428133785057,0.3789795679793025,0.08545125931332319,0.9319026431085251
Australia and New Zealand,NM,lambda,0.001690837590165803,0.005787564196603733,0.29215012269894525,0.7701718450692416
Australia and New Zealand,NM,delta_1,0.05512376672499318,0.034192470579132536,1.6121609755404716,0.10692691482255297
Australia and New Zealand,NM,delta,0.5354581159045031,0.5751960203337613,0.930914152698414,0.35189797299490805
Australia and New Zealand,NM,rho_1,-0.25,3.2820642877635904,-0.0761715731565852,0.9392825983014915
Australia and New Zealand,NM,rho,44,77.07681157239897,0.5708591092753025,0.5680951511244281
Australia and New Zealand,NM,nu,1.339691869556367,0.3124628777969745,4.28752330197395,1.8067630933297227e-5
Australia and New Zealand,Nelder-Mead,gamma,0.03238428133785057,0.3789795679793025,0.08545125931332319,0.9319026431085251
Australia and New Zealand,Nelder-Mead,lambda,0.001690837590165803,0.005787564196603733,0.29215012269894525,0.7701718450692416
Australia and New Zealand,Nelder-Mead,delta_1,0.05512376672499318,0.034192470579132536,1.6121609755404716,0.10692691482255297
Australia and New Zealand,Nelder-Mead,delta,0.5354581159045031,0.5751960203337613,0.930914152698414,0.35189797299490805
Australia and New Zealand,Nelder-Mead,rho_1,-0.25,3.2820642877635904,-0.0761715731565852,0.9392825983014915
Australia and New Zealand,Nelder-Mead,rho,44,77.07681157239897,0.5708591092753025,0.5680951511244281
Australia and New Zealand,Nelder-Mead,nu,1.339691869556367,0.3124628777969745,4.28752330197395,1.8067630933297227e-5
Australia and New Zealand,PORT,gamma,2.0918028673725846e-20,8.485103243167745e-20,0.24652650738892498,0.8052746875623907
Australia and New Zealand,PORT,lambda,0.022406470110127044,0.002006403700548175,11.167478461092008,5.882719714734726e-29
Australia and New Zealand,PORT,delta_1,2.06358077923784e-5,0.004223444872432045,0.004886013293810414,0.9961015409403979
Australia and New Zealand,PORT,delta,0.08905254500546145,0.2521242822527766,0.3532089182753865,0.7239318224263491
