r,t,residuals
Switzerland,21,-0.02840992356828312
Switzerland,22,-0.0010574497127601445
Switzerland,23,0.020623678730568196
Tropical Pacific Islands,1,0.06551753380109943
Tropical Pacific Islands,2,0.025250545400716418
Tropical Pacific Islands,3,0.003346409828950736
Tropical Pacific Islands,4,-0.03714686941097567
Tropical Pacific Islands,5,-0.06605715838877471
Tropical Pacific Islands,6,-0.03508164031273828
Tropical Pacific Islands,7,-0.024815557649891157
Tropical Pacific Islands,8,-0.02163206588686331
Tropical Pacific Islands,9,0.003707634913248742
Tropical Pacific Islands,10,0.008006583973854231
Tropical Pacific Islands,11,0.011351666945751016
Tropical Pacific Islands,12,0.005238392180418598
Tropical Pacific Islands,13,0.03020932354811292
Tropical Pacific Islands,14,-0.015733191649548298
Tropical Pacific Islands,15,0.023813133928091007
Tropical Pacific Islands,16,-0.014977084200609142
Tropical Pacific Islands,17,0.05080208454557522
Tropical Pacific Islands,18,0.048970231722117424
Tropical Pacific Islands,19,0.02053600108410153
Tropical Pacific Islands,20,0.016779430662911377
Tropical Pacific Islands,21,-0.031174367758255966
Tropical Pacific Islands,22,-0.04162904093768685
Tropical Pacific Islands,23,-0.02528188682636434
United Kingdom,1,-0.020460481663966773
United Kingdom,2,-0.010840434885370842
United Kingdom,3,-0.005353854085230647
United Kingdom,4,0.0027949520832111635
United Kingdom,5,0.0048347886534232665
United Kingdom,6,0.005107937241045926
United Kingdom,7,0.00560937030459701
United Kingdom,8,0.012234005290603079
United Kingdom,9,0.0015506787933904052
United Kingdom,10,0.007454895951315273
United Kingdom,11,-0.011443353675408763
United Kingdom,12,0.02309448993846141
United Kingdom,13,0.007192983542051891
United Kingdom,14,0.002840789632292993
United Kingdom,15,0.025285086631159328
United Kingdom,16,0.005865166466398515
United Kingdom,17,-0.00814423110478886
United Kingdom,18,-6.232625300092581e-4
United Kingdom,19,-0.004919816209294825
United Kingdom,20,-0.0022409885947095587
United Kingdom,21,-0.048611649000217944
United Kingdom,22,-0.012399136579729936
United Kingdom,23,0.024029803603800998
United States,1,-0.004827634396399688
United States,2,-0.006412607169437118
United States,3,-0.0010941535286687343
United States,4,0.0024474277525305954
United States,5,0.007408170615278403
United States,6,0.004843741289251649
United States,7,0.0019038271402350287
United States,8,9.789070002105063e-4
United States,9,0.001989249813942537
