t,r,P,Y,C,K,L,E
2011,Non-EU Europe,74.4,1.80467,0.45863,0.146,39.076146,5531
2011,Northern Africa,214.7,2.36616,0.54603,0.148,68.313555,4963
2011,Peninsular West Asia,180.7,4.17916,1.10955,0.382,57.667922,16236
2011,Republic of Korea,49.1,1.93247,0.84676,0.381,25.497708,5351
2011,Russia,144,4.92621,0.93891,0.297,76.202939,16964
2011,South Africa,53,0.76588,0.26502,0.058,21.097307,2290
2011,South America Cluster,140.1,1.50155,0.47358,0.134,67.910523,4396
2011,South-eastern Asia,636.7,6.32734,1.35922,0.549,319.254722,15359
2011,Southern Africa Cluster,7.4,0.07,0.01906,0.006,2.812998,197
2011,Southern Asia Cluster,436.2,1.93903,0.38191,0.081,145.450394,4532
2011,Switzerland,7.9,0.59185,0.41582,0.165,4.537669,788
2011,Tropical Pacific Islands,11,0.04274,0.00339,9.00E-04,3.595129,202
2011,United Kingdom,63.5,2.98448,2.24534,0.423,32.136046,5194
2011,United States,314.1,18.7869,13.8862,3.001,158.53715,59350
2011,Western Africa,329.6,1.43077,0.13056,0.038,136.341278,3368
2012,Argentina,42.2,1.21535,0.47758,0.094,19.006986,2443
2012,Australia and New Zealand,27.3,1.42066,1.07829,0.398,14.389132,3669
2012,Brazil,196.9,3.70761,1.47893,0.369,96.69022,6839
2012,Canada,34.9,1.87573,1.15658,0.378,19.332146,7201
2012,Caribbean Extended,42.1,0.3243,0.16068,0.028,16.077275,987
2012,Central America,44.6,0.49295,0.17356,0.045,18.546704,995
2012,Central Asia Extended,85,1.10136,0.20036,0.062,37.307518,5143
2012,Chile,17.5,0.46724,0.1649,0.063,8.539046,1016
2012,China,1400.7,17.0604,5.10047,0.077,783.148061,65187
2012,Eastern Africa,364.9,0.82244,0.22032,0.055,153.983788,4694
2012,EU27,442,20.2471,9.9688,2.594,211.9875,40714
2012,India,1278.7,6.98212,1.19611,0.544,476.101422,18534
2012,Japan,127.9,5.30897,3.27835,1.02,65.3776,11474
2012,Levant,122.6,2.33969,0.8487,0.273,42.120534,4671
2012,Mexico,116.8,2.44138,0.91859,0.274,50.764169,4826
2012,Middle Africa,145.1,0.59669,0.13384,0.06,54.534484,1714
2012,Non-EU Europe,74.2,1.82018,0.47455,0.152,38.962855,5415
2012,Northern Africa,218.7,2.44664,0.57709,0.157,69.019536,5098
2012,Peninsular West Asia,186,4.32339,1.15831,0.356,60.848818,17080
2012,Republic of Korea,49.6,1.9789,0.86604,0.381,25.940388,5379
2012,Russia,144.3,5.12445,0.99677,0.315,76.120943,16982
2012,South Africa,53.8,0.78424,0.27451,0.059,21.397775,2363
