r,t,fitted
Southern Asia Cluster,10,0.8719327542273912
Southern Asia Cluster,11,0.9140931448395371
Southern Asia Cluster,12,0.9496567219440578
Southern Asia Cluster,13,0.9922798908789945
Southern Asia Cluster,14,1.0302933440221078
Southern Asia Cluster,15,1.0755099365913443
Southern Asia Cluster,16,1.165630095340599
Southern Asia Cluster,17,1.227878246016932
Southern Asia Cluster,18,1.303068184790365
Southern Asia Cluster,19,1.3545205374216547
Southern Asia Cluster,20,1.398092140788798
Southern Asia Cluster,21,1.4489479367257185
Southern Asia Cluster,22,1.547164851858284
Southern Asia Cluster,23,1.5950652838158916
Switzerland,1,0.8124706003312397
Switzerland,2,0.8186254405528092
Switzerland,3,0.8308617200967128
Switzerland,4,0.8406977619891639
Switzerland,5,0.8692198686367175
Switzerland,6,0.8917460083532546
Switzerland,7,0.9169669003578609
Switzerland,8,0.942853553748801
Switzerland,9,0.9558092863368872
Switzerland,10,0.9403334837259067
Switzerland,11,0.9683610931112354
Switzerland,12,0.9847719554297318
Switzerland,13,1.0155695561261964
Switzerland,14,1.033172730826804
Switzerland,15,1.0486316703088356
Switzerland,16,1.0697603091709242
Switzerland,17,1.093173084457381
Switzerland,18,1.1204510683942595
Switzerland,19,1.1358850378396494
Switzerland,20,1.1548147879056425
Switzerland,21,1.1604340342834898
Switzerland,22,1.1918997750536315
Switzerland,23,1.2018399943013656
Tropical Pacific Islands,1,0.6435897493813728
Tropical Pacific Islands,2,0.6729852229166847
Tropical Pacific Islands,3,0.6940115277996637
Tropical Pacific Islands,4,0.7366986110870088
Tropical Pacific Islands,5,0.7838392359055317
Tropical Pacific Islands,6,0.7943673396933925
Tropical Pacific Islands,7,0.818522377462271
Tropical Pacific Islands,8,0.8540202793099837
Tropical Pacific Islands,9,0.8364488111234637
Tropical Pacific Islands,10,0.8652658913449344
Tropical Pacific Islands,11,0.9291205100204798
Tropical Pacific Islands,12,0.9531060940475131
Tropical Pacific Islands,13,0.9611639833827933
Tropical Pacific Islands,14,1.044159469092943
Tropical Pacific Islands,15,1.106938426268501
Tropical Pacific Islands,16,1.2173335903186018
Tropical Pacific Islands,17,1.1947067141756935
Tropical Pacific Islands,18,1.2419423407194818
Tropical Pacific Islands,19,1.287580829901296
Tropical Pacific Islands,20,1.3343157118719875
Tropical Pacific Islands,21,1.3162460777530356
Tropical Pacific Islands,22,1.3123158131575219
Tropical Pacific Islands,23,1.3881407475263288
United Kingdom,1,0.8484371277385877
United Kingdom,2,0.861933783288257
United Kingdom,3,0.8726102344582445
United Kingdom,4,0.8928130019062621
